W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 32/32 | epoch 9/540 | loss 1.04275 | lr 2.880e-04 | grad 0.107 | data-wait 0.0% | tok/s 351,856.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.7% | ETA 3:09:52
[train] batch 4/32 | epoch 10/540 | loss 1.04246 | lr 2.920e-04 | grad 0.112 | data-wait 1.2% | tok/s 342,152.7 | gpu-peak 20.39/23.65 GiB | gpu-util 95.8% | 1.7% | ETA 3:09:49
[train] batch 8/32 | epoch 10/540 | loss 1.04243 | lr 2.960e-04 | grad 0.119 | data-wait 0.2% | tok/s 352,046.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.7% | ETA 3:09:42
[train] batch 12/32 | epoch 10/540 | loss 1.04303 | lr 3.000e-04 | grad 0.120 | data-wait 0.2% | tok/s 351,781.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.7% | ETA 3:09:36
[train] batch 16/32 | epoch 10/540 | loss 1.04315 | lr 3.040e-04 | grad 0.125 | data-wait 0.2% | tok/s 349,824.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.8% | ETA 3:09:30
[train] batch 20/32 | epoch 10/540 | loss 1.04199 | lr 3.080e-04 | grad 0.124 | data-wait 0.2% | tok/s 350,557.4 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.8% | ETA 3:09:24
[train] batch 24/32 | epoch 10/540 | loss 1.04327 | lr 3.120e-04 | grad 0.130 | data-wait 0.2% | tok/s 352,334.4 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.8% | ETA 3:09:17
[train] batch 28/32 | epoch 10/540 | loss 1.04291 | lr 3.160e-04 | grad 0.120 | data-wait 0.1% | tok/s 352,974.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 1.8% | ETA 3:09:10
[train] batch 32/32 | epoch 10/540 | loss 1.04302 | lr 3.200e-04 | grad 0.116 | data-wait 0.0% | tok/s 349,711.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.6% | 1.9% | ETA 3:09:05
[checkpoint] saved artifacts/synbios_moe/checkpoints/synbios_moe_single_fsdp_4gpu/epoch_000010_step_000000320 (model+optimizer state)
[train] batch 4/32 | epoch 11/540 | loss 1.04244 | lr 3.240e-04 | grad 0.113 | data-wait 0.1% | tok/s 30,946.4 | gpu-peak 20.39/23.65 GiB | gpu-util 10.3% | 1.9% | ETA 3:32:34
[train] batch 8/32 | epoch 11/540 | loss 1.04208 | lr 3.280e-04 | grad 0.112 | data-wait 0.2% | tok/s 364,146.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.0% | 1.9% | ETA 3:32:05
[train] batch 12/32 | epoch 11/540 | loss 1.04184 | lr 3.320e-04 | grad 0.107 | data-wait 0.3% | tok/s 368,766.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.9% | ETA 3:31:36
[train] batch 16/32 | epoch 11/540 | loss 1.04098 | lr 3.360e-04 | grad 0.115 | data-wait 0.2% | tok/s 368,197.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 1.9% | ETA 3:31:08
[train] batch 20/32 | epoch 11/540 | loss 1.04260 | lr 3.400e-04 | grad 0.120 | data-wait 0.2% | tok/s 368,396.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.0% | ETA 3:30:40
[train] batch 24/32 | epoch 11/540 | loss 1.04830 | lr 3.440e-04 | grad 0.168 | data-wait 0.2% | tok/s 366,535.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 2.0% | ETA 3:30:13
[train] batch 28/32 | epoch 11/540 | loss 1.15479 | lr 3.480e-04 | grad 2.581 | data-wait 0.1% | tok/s 360,909.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.1% | 2.0% | ETA 3:29:49
[train] batch 32/32 | epoch 11/540 | loss 1.10908 | lr 3.520e-04 | grad 2.058 | data-wait 0.0% | tok/s 365,248.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 2.0% | ETA 3:29:23
[train] batch 4/32 | epoch 12/540 | loss 1.24690 | lr 3.560e-04 | grad 5.036 | data-wait 0.8% | tok/s 350,982.4 | gpu-peak 20.39/23.65 GiB | gpu-util 95.9% | 2.1% | ETA 3:29:04
[train] batch 8/32 | epoch 12/540 | loss 1.07400 | lr 3.600e-04 | grad 0.609 | data-wait 0.2% | tok/s 361,380.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.1% | ETA 3:28:41
[train] batch 12/32 | epoch 12/540 | loss 1.05932 | lr 3.640e-04 | grad 0.354 | data-wait 0.2% | tok/s 357,284.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.1% | ETA 3:28:19
[train] batch 16/32 | epoch 12/540 | loss 1.05071 | lr 3.680e-04 | grad 0.149 | data-wait 0.2% | tok/s 354,231.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.1% | ETA 3:28:00
[train] batch 20/32 | epoch 12/540 | loss 1.04658 | lr 3.720e-04 | grad 0.127 | data-wait 0.2% | tok/s 351,769.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.2% | ETA 3:27:41
[train] batch 24/32 | epoch 12/540 | loss 1.04586 | lr 3.760e-04 | grad 0.115 | data-wait 0.2% | tok/s 357,221.1 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.2% | ETA 3:27:21
[train] batch 28/32 | epoch 12/540 | loss 1.04288 | lr 3.800e-04 | grad 0.113 | data-wait 0.1% | tok/s 352,854.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 2.2% | ETA 3:27:03
[train] batch 32/32 | epoch 12/540 | loss 1.04347 | lr 3.840e-04 | grad 0.111 | data-wait 0.0% | tok/s 357,056.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.6% | 2.2% | ETA 3:26:44
[train] batch 4/32 | epoch 13/540 | loss 1.04142 | lr 3.880e-04 | grad 0.113 | data-wait 1.0% | tok/s 345,433.7 | gpu-peak 20.39/23.65 GiB | gpu-util 96.1% | 2.2% | ETA 3:26:29
[train] batch 8/32 | epoch 13/540 | loss 1.04243 | lr 3.920e-04 | grad 0.114 | data-wait 0.2% | tok/s 350,214.9 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.3% | ETA 3:26:12
[train] batch 12/32 | epoch 13/540 | loss 1.04097 | lr 3.960e-04 | grad 0.118 | data-wait 0.2% | tok/s 349,720.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 2.3% | ETA 3:25:56
[train] batch 16/32 | epoch 13/540 | loss 1.04105 | lr 4.000e-04 | grad 0.120 | data-wait 0.2% | tok/s 349,139.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.3% | ETA 3:25:40
[train] batch 20/32 | epoch 13/540 | loss 1.04168 | lr 4.040e-04 | grad 0.112 | data-wait 0.3% | tok/s 348,992.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 2.3% | ETA 3:25:25
